title,location,price,bedrooms,bathrooms,link
4 Bed House with Garage in Langata,Langata,"KSh 30,000,000",4,2,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-langata-1-3424957
5 Bed House with Garage at Karen Plain,"Karen plain, Karen","KSh 65,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3557417
5 Bed House with Garage at Sunvalley Estate,"Sunvalley Estate, Langata","KSh 24,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-langata-3533450
4 Bed Townhouse with Gym in Karen,Karen,"KSh 90,000,000",4,7,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-karen-3512111
5 Bed House with Balcony in Kiambu Road,Kiambu Road,"KSh 66,950,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kiambu-road-2-3425701
5 Bed House with Gym in Muthaiga,Muthaiga,"KSh 420,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-muthaiga-3523662
5 Bed Villa with Gym at Karen Miotoni,"Miotoni, Karen Miotoni, Karen Hardy","KSh 120,000,000",5,8,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-hardy-3482529
4 Bed House with Garage at Miotoni Road,"Miotoni Road, Karen","KSh 80,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3472155
4 Bed Townhouse with Gym in Kileleshwa,Kileleshwa,"KSh 45,000,000",4,6,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kileleshwa-3514109
4 Bed House with Swimming Pool in Loresho,"Nairobi, Loresho, Westlands","KSh 34,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-loresho-3474088
5 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands","KSh 36,000,000",5,3,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-westlands-area-1-3435420
5 Bed Townhouse with Garage at Kaputei Gardens,"Kaputei Gardens, Kileleshwa","KSh 330,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kileleshwa-3517665
3 Bed Townhouse with Balcony in Donholm,Donholm,"KSh 11,000,000",3,2,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-donholm-3483490
4 Bed Townhouse with Garage at Westlands,"Westlands, Westlands Area","KSh 62,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3467832
4 Bed Townhouse with Balcony in Lavington,Lavington,"KSh 63,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3513847
5 Bed House with Aircon at -Off Lower Kabete,"SPRING VALLEY, -OFF LOWER KABETE , Spring Valley, Westlands","KSh 140,000,000",5,6,https://www.buyrentkenya.com/listings/furnished-5-bedroom-house-for-sale-spring-valley-37024
5 Bed House with Swimming Pool at Mbagathi Ridge,"Mbagathi Ridge, Karen","KSh 299,700,000",5,3,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-1-3469716
4 Bed House with Balcony at Masai Road,"Karen, Masai road, Karen Hardy","KSh 75,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-hardy-3561569
4 Bed Townhouse with Gym at Serene Spring Valley,"Serene Spring Valley, Spring Valley, Westlands","KSh 95,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-spring-valley-3484846
4 Bed House with Garage at Karen Road,"Karen Road, Karen","KSh 165,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3490589
4 Bed House with Garage at Gigiri,"01, Gigiri, Runda, Westlands","KSh 135,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3543228
